StartDate,open
2021-06-08,98.19
2021-06-09,99.11
2021-06-10,106.14
2021-06-11,101.49
2021-06-12,101.49
2021-06-13,101.49
2021-06-14,101.49
2021-06-15,98.88
2021-06-16,96.5
2021-06-17,92.95
2021-06-18,92.9
2021-06-19,92.9
2021-06-20,92.9
2021-06-21,96.0
2021-06-22,99.5
2021-06-23,97.16
2021-06-24,95.7
2021-06-25,97.22
2021-06-26,97.22
2021-06-27,97.22
2021-06-28,96.0
2021-06-29,97.25
2021-06-30,95.0
2021-07-01,94.87
2021-07-02,92.0
2021-07-03,92.0
2021-07-04,92.0
2021-07-05,92.0
2021-07-06,91.99
2021-07-07,92.04
2021-07-08,95.6
2021-07-09,91.01
2021-07-10,91.01
2021-07-11,91.01
2021-07-12,94.18
2021-07-13,92.01
2021-07-14,91.03
2021-07-15,90.1
2021-07-16,89.0
2021-07-17,89.0
2021-07-18,89.0
2021-07-19,89.12
2021-07-20,87.0
2021-07-21,88.55
2021-07-22,85.86
2021-07-23,86.22
2021-07-24,86.22
2021-07-25,86.22
2021-07-26,81.21
2021-07-27,76.01
2021-07-28,73.4
2021-07-29,73.88
2021-07-30,71.37
2021-07-31,71.37
2021-08-01,71.37
2021-08-02,69.25
2021-08-03,72.1
2021-08-04,72.3
2021-08-05,68.72
2021-08-06,68.49
2021-08-07,68.49
2021-08-08,68.49
2021-08-09,65.84
2021-08-10,77.25
2021-08-11,70.2
2021-08-12,77.5
2021-08-13,75.3
2021-08-14,75.3
2021-08-15,75.3
2021-08-16,73.0
2021-08-17,78.5
2021-08-18,82.2
2021-08-19,79.77
2021-08-20,83.03
2021-08-21,83.03
2021-08-22,83.03
2021-08-23,82.5
2021-08-24,80.01
2021-08-25,78.24
2021-08-26,78.5
2021-08-27,77.6
2021-08-28,77.6
2021-08-29,77.6
2021-08-30,74.41
2021-08-31,72.63
2021-09-01,71.19
2021-09-02,73.9
2021-09-03,72.5
2021-09-04,72.5
2021-09-05,72.5
2021-09-06,71.3
2021-09-07,71.8
2021-09-08,70.98
2021-09-09,73.02
2021-09-10,72.0
2021-09-11,72.0
2021-09-12,72.0
2021-09-13,71.76
2021-09-14,73.0
2021-09-15,70.6
